Percentage served,Time in ms
0,3.798
1,4.693
2,7.670
3,7.762
4,7.825
5,7.875
6,7.930
7,7.985
8,8.064
9,8.871
10,9.177
11,10.249
12,10.329
13,10.375
14,10.401
15,10.425
16,10.444
17,10.462
18,10.477
19,10.490
20,10.503
21,10.515
22,10.527
23,10.536
24,10.544
25,10.553
26,10.562
27,10.571
28,10.578
29,10.585
30,10.591
31,10.598
32,10.605
33,10.613
34,10.620
35,10.627
36,10.632
37,10.638
38,10.644
39,10.650
40,10.657
41,10.664
42,10.670
43,10.675
44,10.680
45,10.685
46,10.689
47,10.694
48,10.699
49,10.704
50,10.709
51,10.714
52,10.719
53,10.723
54,10.728
55,10.731
56,10.734
57,10.738
58,10.742
59,10.746
60,10.750
61,10.754
62,10.758
63,10.762
64,10.767
65,10.771
66,10.775
67,10.778
68,10.781
69,10.784
70,10.788
71,10.792
72,10.796
73,10.800
74,10.804
75,10.809
76,10.814
77,10.818
78,10.823
79,10.827
80,10.831
81,10.835
82,10.840
83,10.846
84,10.851
85,10.858
86,10.865
87,10.872
88,10.879
89,10.886
90,10.895
91,10.907
92,10.924
93,10.944
94,10.986
95,11.272
96,11.887
97,12.063
98,12.175
99,12.310
