Percentage served,Time in ms
0,1.281
1,2.028
2,2.556
3,3.049
4,3.598
5,4.249
6,4.918
7,5.423
8,5.952
9,6.526
10,7.145
11,7.770
12,8.314
13,8.889
14,9.502
15,10.123
16,10.689
17,11.271
18,11.883
19,12.495
20,13.058
21,13.623
22,14.226
23,14.847
24,15.397
25,15.970
26,16.555
27,17.161
28,17.736
29,18.291
30,18.848
31,19.443
32,20.045
33,20.597
34,21.159
35,21.747
36,22.350
37,22.936
38,23.487
39,24.069
40,24.655
41,25.249
42,25.807
43,26.388
44,26.986
45,27.584
46,28.142
47,28.726
48,29.318
49,29.925
50,30.500
51,31.081
52,31.674
53,32.277
54,32.848
55,33.420
56,33.996
57,34.597
58,35.179
59,35.752
60,36.319
61,36.913
62,37.509
63,38.075
64,38.644
65,39.225
66,39.830
67,40.415
68,40.998
69,41.584
70,42.178
71,42.773
72,43.335
73,43.911
74,44.480
75,45.076
76,45.656
77,46.228
78,46.807
79,47.404
80,48.001
81,48.577
82,49.207
83,49.948
84,50.676
85,51.405
86,52.145
87,52.945
88,53.817
89,54.741
90,55.651
91,56.640
92,57.606
93,58.613
94,59.657
95,60.738
96,62.101
97,63.758
98,65.674
99,69.249
