Percentage served,Time in ms
0,0.647
1,0.967
2,1.110
3,1.353
4,1.542
5,1.718
6,1.942
7,2.145
8,2.342
9,2.584
10,2.783
11,2.978
12,3.197
13,3.405
14,3.616
15,3.836
16,4.043
17,4.261
18,4.480
19,4.686
20,4.911
21,5.139
22,5.345
23,5.576
24,5.796
25,6.035
26,6.247
27,6.487
28,6.707
29,6.943
30,7.187
31,7.425
32,7.666
33,7.909
34,8.159
35,8.398
36,8.666
37,8.910
38,9.162
39,9.420
40,9.683
41,9.946
42,10.211
43,10.490
44,10.758
45,11.038
46,11.328
47,11.619
48,11.910
49,12.205
50,12.510
51,12.826
52,13.134
53,13.459
54,13.777
55,14.116
56,14.453
57,14.806
58,15.155
59,15.511
60,15.868
61,16.238
62,16.626
63,17.026
64,17.412
65,17.837
66,18.247
67,18.672
68,19.122
69,19.584
70,20.053
71,20.526
72,21.006
73,21.507
74,22.015
75,22.543
76,23.074
77,23.648
78,24.222
79,24.835
80,25.460
81,26.114
82,26.789
83,27.510
84,28.282
85,29.101
86,29.980
87,30.903
88,31.916
89,32.963
90,34.071
91,35.289
92,36.675
93,38.189
94,39.894
95,41.915
96,44.445
97,47.817
98,53.142
99,64.071
