Percentage served,Time in ms
0,0.568
1,1.036
2,1.262
3,1.480
4,1.695
5,1.896
6,2.112
7,2.331
8,2.543
9,2.756
10,2.965
11,3.180
12,3.398
13,3.637
14,3.865
15,4.091
16,4.332
17,4.560
18,4.793
19,5.017
20,5.247
21,5.483
22,5.716
23,5.946
24,6.176
25,6.403
26,6.639
27,6.869
28,7.103
29,7.330
30,7.567
31,7.789
32,8.017
33,8.242
34,8.480
35,8.707
36,8.939
37,9.173
38,9.400
39,9.631
40,9.849
41,10.081
42,10.291
43,10.512
44,10.738
45,10.958
46,11.178
47,11.405
48,11.632
49,11.857
50,12.085
51,12.316
52,12.540
53,12.767
54,12.990
55,13.226
56,13.457
57,13.679
58,13.910
59,14.132
60,14.375
61,14.604
62,14.827
63,15.058
64,15.289
65,15.522
66,15.752
67,15.980
68,16.214
69,16.440
70,16.677
71,16.898
72,17.127
73,17.370
74,17.605
75,17.829
76,18.058
77,18.282
78,18.515
79,18.746
80,18.970
81,19.213
82,19.439
83,19.665
84,19.898
85,20.129
86,20.350
87,20.563
88,20.773
89,20.986
90,21.206
91,21.419
92,21.632
93,21.843
94,22.053
95,22.263
96,22.472
97,22.690
98,23.470
99,25.149
