Percentage served,Time in ms
0,1.277
1,7.775
2,8.338
3,8.651
4,8.860
5,9.028
6,9.149
7,9.252
8,9.335
9,9.402
10,9.465
11,9.519
12,9.569
13,9.612
14,9.651
15,9.691
16,9.727
17,9.757
18,9.788
19,9.818
20,9.843
21,9.872
22,9.894
23,9.921
24,9.941
25,9.964
26,9.984
27,10.003
28,10.025
29,10.042
30,10.063
31,10.081
32,10.096
33,10.117
34,10.134
35,10.149
36,10.169
37,10.185
38,10.200
39,10.218
40,10.233
41,10.248
42,10.267
43,10.283
44,10.298
45,10.318
46,10.334
47,10.351
48,10.370
49,10.385
50,10.402
51,10.421
52,10.438
53,10.457
54,10.479
55,10.496
56,10.519
57,10.538
58,10.563
59,10.586
60,10.614
61,10.639
62,10.671
63,10.700
64,10.735
65,10.774
66,10.816
67,10.863
68,10.908
69,10.964
70,11.024
71,11.085
72,11.149
73,11.220
74,11.287
75,11.351
76,11.422
77,11.487
78,11.550
79,11.618
80,11.681
81,11.745
82,11.808
83,11.879
84,11.944
85,12.021
86,12.089
87,12.171
88,12.252
89,12.343
90,12.445
91,12.559
92,12.689
93,12.860
94,13.084
95,13.457
96,14.126
97,14.925
98,15.940
99,17.809
