Percentage served,Time in ms
0,0.468
1,0.590
2,0.611
3,0.634
4,0.649
5,0.662
6,0.679
7,0.694
8,0.703
9,0.713
10,0.725
11,0.737
12,0.745
13,0.752
14,0.760
15,0.769
16,0.780
17,0.788
18,0.795
19,0.802
20,0.809
21,0.817
22,0.825
23,0.834
24,0.840
25,0.846
26,0.851
27,0.857
28,0.863
29,0.869
30,0.876
31,0.883
32,0.889
33,0.894
34,0.898
35,0.902
36,0.906
37,0.911
38,0.916
39,0.921
40,0.927
41,0.933
42,0.938
43,0.942
44,0.946
45,0.949
46,0.953
47,0.957
48,0.962
49,0.967
50,0.973
51,0.978
52,0.983
53,0.988
54,0.992
55,0.996
56,1.000
57,1.004
58,1.008
59,1.013
60,1.018
61,1.024
62,1.030
63,1.035
64,1.040
65,1.044
66,1.048
67,1.052
68,1.056
69,1.062
70,1.068
71,1.075
72,1.082
73,1.089
74,1.094
75,1.099
76,1.106
77,1.112
78,1.120
79,1.129
80,1.137
81,1.144
82,1.150
83,1.157
84,1.167
85,1.178
86,1.189
87,1.198
88,1.208
89,1.224
90,1.239
91,1.250
92,1.264
93,1.283
94,1.300
95,1.325
96,1.356
97,1.404
98,1.488
99,1.819
