Percentage served,Time in ms
0,1.424
1,2.209
2,2.339
3,2.416
4,2.475
5,2.517
6,2.551
7,2.582
8,2.603
9,2.628
10,2.647
11,2.664
12,2.684
13,2.698
14,2.713
15,2.731
16,2.744
17,2.756
18,2.772
19,2.786
20,2.798
21,2.810
22,2.825
23,2.838
24,2.848
25,2.861
26,2.876
27,2.889
28,2.900
29,2.912
30,2.926
31,2.939
32,2.949
33,2.960
34,2.975
35,2.987
36,2.997
37,3.008
38,3.022
39,3.035
40,3.045
41,3.055
42,3.069
43,3.083
44,3.094
45,3.105
46,3.118
47,3.131
48,3.142
49,3.152
50,3.164
51,3.179
52,3.190
53,3.200
54,3.213
55,3.228
56,3.240
57,3.250
58,3.264
59,3.278
60,3.291
61,3.302
62,3.315
63,3.330
64,3.342
65,3.353
66,3.366
67,3.381
68,3.393
69,3.405
70,3.420
71,3.436
72,3.447
73,3.461
74,3.479
75,3.493
76,3.507
77,3.527
78,3.543
79,3.559
80,3.580
81,3.597
82,3.615
83,3.637
84,3.654
85,3.679
86,3.699
87,3.727
88,3.752
89,3.782
90,3.809
91,3.844
92,3.881
93,3.919
94,3.963
95,4.015
96,4.080
97,4.161
98,4.289
99,4.693
