Percentage served,Time in ms
0,26.405
1,114.506
2,114.835
3,115.090
4,115.324
5,115.533
6,115.732
7,115.932
8,116.147
9,116.419
10,116.915
11,119.211
12,119.989
13,120.450
14,120.891
15,121.537
16,125.734
17,125.954
18,126.086
19,126.191
20,126.286
21,126.371
22,126.444
23,126.510
24,126.583
25,126.641
26,126.698
27,126.754
28,126.807
29,126.862
30,126.910
31,126.962
32,127.007
33,127.050
34,127.094
35,127.140
36,127.184
37,127.224
38,127.263
39,127.300
40,127.339
41,127.377
42,127.412
43,127.446
44,127.485
45,127.518
46,127.551
47,127.587
48,127.621
49,127.653
50,127.690
51,127.726
52,127.759
53,127.794
54,127.833
55,127.871
56,127.905
57,127.944
58,127.984
59,128.023
60,128.063
61,128.104
62,128.147
63,128.191
64,128.239
65,128.285
66,128.335
67,128.386
68,128.435
69,128.492
70,128.549
71,128.609
72,128.675
73,128.738
74,128.807
75,128.880
76,128.958
77,129.048
78,129.147
79,129.275
80,129.461
81,129.938
82,132.017
83,132.835
84,133.353
85,133.901
86,135.150
87,139.139
88,139.499
89,139.800
90,140.084
91,140.338
92,140.608
93,140.973
94,142.015
95,145.479
96,145.990
97,146.453
98,146.906
99,151.415
