Percentage served,Time in ms
0,51.019
1,124.435
2,124.653
3,124.766
4,124.849
5,124.924
6,124.989
7,125.050
8,125.105
9,125.157
10,125.205
11,125.249
12,125.294
13,125.334
14,125.371
15,125.406
16,125.446
17,125.484
18,125.515
19,125.548
20,125.583
21,125.611
22,125.644
23,125.676
24,125.703
25,125.733
26,125.758
27,125.789
28,125.813
29,125.841
30,125.865
31,125.892
32,125.916
33,125.942
34,125.966
35,125.990
36,126.012
37,126.038
38,126.058
39,126.084
40,126.103
41,126.127
42,126.148
43,126.172
44,126.193
45,126.215
46,126.238
47,126.256
48,126.280
49,126.298
50,126.320
51,126.341
52,126.359
53,126.383
54,126.400
55,126.424
56,126.444
57,126.466
58,126.489
59,126.509
60,126.533
61,126.551
62,126.577
63,126.597
64,126.621
65,126.643
66,126.669
67,126.693
68,126.717
69,126.743
70,126.770
71,126.796
72,126.823
73,126.848
74,126.877
75,126.904
76,126.936
77,126.963
78,126.994
79,127.028
80,127.057
81,127.091
82,127.124
83,127.155
84,127.191
85,127.231
86,127.266
87,127.305
88,127.348
89,127.390
90,127.438
91,127.486
92,127.536
93,127.587
94,127.643
95,127.706
96,127.777
97,127.852
98,127.946
99,128.085
