Percentage served,Time in ms
0,35.721
1,58.653
2,60.349
3,61.322
4,62.009
5,62.630
6,63.137
7,63.628
8,64.061
9,64.473
10,64.845
11,65.230
12,65.618
13,66.002
14,66.367
15,66.699
16,67.001
17,67.312
18,67.613
19,67.890
20,68.145
21,68.407
22,68.654
23,68.890
24,69.119
25,69.338
26,69.554
27,69.766
28,69.961
29,70.154
30,70.348
31,70.547
32,70.732
33,70.921
34,71.101
35,71.276
36,71.458
37,71.637
38,71.820
39,72.009
40,72.175
41,72.347
42,72.514
43,72.685
44,72.860
45,73.018
46,73.176
47,73.336
48,73.504
49,73.672
50,73.846
51,74.011
52,74.167
53,74.334
54,74.506
55,74.673
56,74.835
57,75.004
58,75.170
59,75.332
60,75.486
61,75.654
62,75.810
63,75.977
64,76.141
65,76.306
66,76.476
67,76.643
68,76.823
69,77.007
70,77.201
71,77.383
72,77.581
73,77.771
74,77.978
75,78.201
76,78.415
77,78.652
78,78.893
79,79.143
80,79.404
81,79.668
82,79.938
83,80.210
84,80.488
85,80.800
86,81.142
87,81.527
88,81.977
89,82.445
90,82.937
91,83.505
92,84.216
93,85.002
94,85.922
95,87.009
96,88.254
97,89.901
98,91.977
99,95.011
