Percentage served,Time in ms
0,28.985
1,37.424
2,40.737
3,43.931
4,47.099
5,48.939
6,49.549
7,49.950
8,50.282
9,50.657
10,51.152
11,51.842
12,52.676
13,53.661
14,54.900
15,56.161
16,57.271
17,58.176
18,59.090
19,60.001
20,60.913
21,61.778
22,62.590
23,63.400
24,64.113
25,64.843
26,65.503
27,66.123
28,66.780
29,67.469
30,68.083
31,68.639
32,69.188
33,69.723
34,70.271
35,70.860
36,71.505
37,72.115
38,72.683
39,73.197
40,73.665
41,74.077
42,74.425
43,74.730
44,74.993
45,75.245
46,75.482
47,75.708
48,75.923
49,76.136
50,76.354
51,76.578
52,76.806
53,77.027
54,77.272
55,77.535
56,77.815
57,78.112
58,78.425
59,78.779
60,79.137
61,79.527
62,79.935
63,80.364
64,80.808
65,81.310
66,81.849
67,82.370
68,82.885
69,83.453
70,84.012
71,84.601
72,85.242
73,85.855
74,86.569
75,87.220
76,87.884
77,88.506
78,89.135
79,89.786
80,90.487
81,91.188
82,91.947
83,92.702
84,93.410
85,94.263
86,95.152
87,96.101
88,96.996
89,97.877
90,98.683
91,99.474
92,100.297
93,101.027
94,101.741
95,102.600
96,103.627
97,105.017
98,107.207
99,114.246
