Percentage served,Time in ms
0,27.810
1,65.694
2,65.831
3,65.918
4,65.992
5,66.051
6,66.106
7,66.158
8,66.207
9,66.254
10,66.298
11,66.342
12,66.384
13,66.426
14,66.465
15,66.507
16,66.549
17,66.591
18,66.634
19,66.674
20,66.713
21,66.753
22,66.792
23,66.833
24,66.873
25,66.914
26,66.957
27,66.997
28,67.041
29,67.083
30,67.127
31,67.173
32,67.221
33,67.272
34,67.321
35,67.370
36,67.418
37,67.466
38,67.513
39,67.556
40,67.597
41,67.640
42,67.678
43,67.718
44,67.757
45,67.794
46,67.831
47,67.873
48,67.912
49,67.953
50,67.995
51,68.039
52,68.085
53,68.135
54,68.185
55,68.236
56,68.294
57,68.353
58,68.419
59,68.486
60,68.564
61,68.646
62,68.737
63,68.845
64,68.975
65,69.114
66,69.254
67,69.376
68,69.485
69,69.587
70,69.677
71,69.752
72,69.819
73,69.876
74,69.930
75,69.977
76,70.022
77,70.063
78,70.103
79,70.145
80,70.184
81,70.221
82,70.261
83,70.302
84,70.342
85,70.387
86,70.440
87,70.503
88,70.588
89,70.718
90,71.006
91,71.851
92,73.235
93,73.820
94,74.299
95,74.661
96,74.997
97,75.598
98,76.352
99,78.838
