Percentage served,Time in ms
0,26.887
1,65.235
2,65.354
3,65.428
4,65.484
5,65.533
6,65.573
7,65.611
8,65.645
9,65.677
10,65.709
11,65.738
12,65.767
13,65.795
14,65.822
15,65.850
16,65.877
17,65.903
18,65.929
19,65.954
20,65.979
21,66.003
22,66.028
23,66.053
24,66.077
25,66.101
26,66.126
27,66.150
28,66.173
29,66.197
30,66.222
31,66.247
32,66.271
33,66.294
34,66.318
35,66.343
36,66.368
37,66.393
38,66.416
39,66.440
40,66.466
41,66.493
42,66.518
43,66.544
44,66.570
45,66.596
46,66.621
47,66.650
48,66.680
49,66.708
50,66.737
51,66.766
52,66.797
53,66.827
54,66.859
55,66.893
56,66.926
57,66.960
58,66.991
59,67.027
60,67.063
61,67.098
62,67.134
63,67.170
64,67.206
65,67.243
66,67.282
67,67.319
68,67.360
69,67.402
70,67.444
71,67.487
72,67.530
73,67.574
74,67.624
75,67.672
76,67.722
77,67.775
78,67.833
79,67.896
80,67.967
81,68.052
82,68.149
83,68.278
84,68.479
85,68.814
86,69.218
87,69.541
88,69.744
89,69.916
90,70.138
91,70.852
92,72.188
93,72.731
94,73.059
95,73.364
96,73.661
97,74.010
98,74.487
99,75.761
