Percentage served,Time in ms
0,4.335
1,31.146
2,31.430
3,42.163
4,42.204
5,42.212
6,42.215
7,42.248
8,42.260
9,42.262
10,42.264
11,42.269
12,42.297
13,42.310
14,42.312
15,42.313
16,42.315
17,42.325
18,42.359
19,42.362
20,42.366
21,42.411
22,42.424
23,42.463
24,42.505
25,42.514
26,42.555
27,42.562
28,42.564
29,42.578
30,42.606
31,42.611
32,42.612
33,42.613
34,42.614
35,42.622
36,42.635
37,42.650
38,42.657
39,42.660
40,42.661
41,42.661
42,42.662
43,42.662
44,42.663
45,42.664
46,42.665
47,42.671
48,42.676
49,42.690
50,42.699
51,42.704
52,42.709
53,42.710
54,42.711
55,42.711
56,42.712
57,42.712
58,42.713
59,42.713
60,42.714
61,42.716
62,42.723
63,42.727
64,42.747
65,42.754
66,42.759
67,42.760
68,42.761
69,42.762
70,42.762
71,42.763
72,42.764
73,42.769
74,42.776
75,42.799
76,42.808
77,42.811
78,42.812
79,42.813
80,42.814
81,42.820
82,42.840
83,42.857
84,42.861
85,42.862
86,42.864
87,42.877
88,42.909
89,42.912
90,42.914
91,42.949
92,42.961
93,42.964
94,43.010
95,43.049
96,43.148
97,45.699
98,45.855
99,45.966
