Percentage served,Time in ms
0,6.215
1,7.138
2,7.317
3,7.494
4,7.715
5,7.888
6,7.975
7,8.029
8,8.071
9,8.102
10,8.128
11,8.152
12,8.173
13,8.190
14,8.205
15,8.220
16,8.234
17,8.247
18,8.259
19,8.271
20,8.282
21,8.292
22,8.302
23,8.312
24,8.321
25,8.330
26,8.339
27,8.348
28,8.357
29,8.365
30,8.374
31,8.383
32,8.391
33,8.400
34,8.408
35,8.417
36,8.426
37,8.434
38,8.443
39,8.452
40,8.461
41,8.470
42,8.479
43,8.487
44,8.496
45,8.506
46,8.515
47,8.523
48,8.533
49,8.543
50,8.553
51,8.564
52,8.575
53,8.587
54,8.600
55,8.614
56,8.629
57,8.644
58,8.663
59,8.683
60,8.704
61,8.728
62,8.753
63,8.780
64,8.811
65,8.848
66,8.897
67,8.953
68,9.021
69,9.094
70,9.173
71,9.248
72,9.318
73,9.386
74,9.445
75,9.509
76,9.572
77,9.637
78,9.704
79,9.771
80,9.833
81,9.887
82,9.944
83,9.997
84,10.051
85,10.106
86,10.165
87,10.224
88,10.286
89,10.355
90,10.433
91,10.519
92,10.611
93,10.735
94,10.904
95,11.192
96,11.572
97,12.052
98,13.020
99,14.304
