Percentage served,Time in ms
0,0.426
1,2.829
2,3.974
3,4.700
4,5.157
5,5.410
6,5.566
7,5.679
8,5.775
9,5.855
10,5.935
11,6.004
12,6.074
13,6.139
14,6.203
15,6.261
16,6.321
17,6.378
18,6.439
19,6.493
20,6.551
21,6.605
22,6.655
23,6.705
24,6.757
25,6.807
26,6.855
27,6.906
28,6.951
29,6.999
30,7.049
31,7.097
32,7.142
33,7.190
34,7.238
35,7.286
36,7.332
37,7.378
38,7.427
39,7.474
40,7.522
41,7.567
42,7.615
43,7.660
44,7.711
45,7.760
46,7.809
47,7.859
48,7.911
49,7.958
50,8.007
51,8.057
52,8.108
53,8.163
54,8.221
55,8.278
56,8.330
57,8.385
58,8.441
59,8.498
60,8.557
61,8.614
62,8.673
63,8.734
64,8.790
65,8.850
66,8.914
67,8.977
68,9.039
69,9.105
70,9.173
71,9.237
72,9.307
73,9.382
74,9.454
75,9.535
76,9.614
77,9.696
78,9.784
79,9.871
80,9.965
81,10.067
82,10.169
83,10.280
84,10.397
85,10.526
86,10.655
87,10.791
88,10.949
89,11.135
90,11.358
91,11.633
92,11.982
93,12.473
94,13.174
95,14.147
96,15.409
97,16.971
98,19.426
99,24.809
